id	name	type	P1853	P21	born	died	P2031	url	description
393988	Mikiko Kawamura	Q5		Q6581072	1990		2011	https://anilist.co/staff/393988	川村美紀子. Choreographer. From Tokyo, Japan.
393989	Kouhei Kawaguchi	Q5		Q6581097	1976			https://anilist.co/staff/393989	川口晃平. Noh Performer.
393990	Hayari 8mai	Q5						https://anilist.co/staff/393990	はやり８まい. Mangaka. From Osaka.
393991	Katsuyuki Shimizu	Q5		Q6581097	1971			https://anilist.co/staff/393991	清水克行. Historian. From Tokyo, Japan.
394002	Souichirou Nemoto	Q5		Q6581097	1990-10-20		2017	https://anilist.co/staff/394002	根本聡一郎. Writer. From Iwaki, Fukushima Prefecture, Japan.
394003	Kaisake	Q5		Q6581072				https://anilist.co/staff/394003	界さけ. Illustrator, Artist. From Tokyo, Japan.
394004	Buspho Kasebuka	Q5						https://anilist.co/staff/394004	桛深ビスホ. Mangaka.
394005	Shisu Narukawa	Q5						https://anilist.co/staff/394005	ナルカワシス. Mangaka.
394006	Nao Nukui	Q5						https://anilist.co/staff/394006	貫井なお. Mangaka.
394007	Yuki	Q5						https://anilist.co/staff/394007	雪. Writer.
394008	M Lyons	Q5						https://anilist.co/staff/394008	Editor.
394009	Ashley Trowbridge	Q5						https://anilist.co/staff/394009	Translator.
394013	Anton C.	Q5						https://anilist.co/staff/394013	Anton C.. Letterer.
394014	Rokkotsu Kyoudai	Q5						https://anilist.co/staff/394014	肋骨兄妹. Mangaka.
394015	Ryuu Ganari	Q5						https://anilist.co/staff/394015	がなり龍. Mangaka.
394016	Tsumugi Tsutamori	Q5						https://anilist.co/staff/394016	蔦森つむぎ. Mangaka.
394017	Neko Rojiurano	Q5						https://anilist.co/staff/394017	路地裏乃猫. Writer.
394026	Aiki Yaginuma	Q5						https://anilist.co/staff/394026	Translator.
394027	Frank Spinelli	Q5						https://anilist.co/staff/394027	Frank J/E Spinelli. Translator.
394028	M Lyons	Q5						https://anilist.co/staff/394028	M Lyons. Editor.
394029	Kurouni	Q5						https://anilist.co/staff/394029	クロウニ. Animator.
394030	Jing Sun	Q5						https://anilist.co/staff/394030	孫晶. Animator.
394031	ABA	Q5						https://anilist.co/staff/394031	Animator.
394032	Mizuki Kanai	Q5						https://anilist.co/staff/394032	カナイミズキ. Mangaka.
394033	Oanh Le	Q5						https://anilist.co/staff/394033	Background Artist.
394034	Xiang Xiao	Q5						https://anilist.co/staff/394034	潇湘. Animator.
394035	Sousuke Somei	Q5						https://anilist.co/staff/394035	染井惣介. Mangaka.
394036	Kimtol	Q5						https://anilist.co/staff/394036	김톨. Artist.
394037	Hana Yunoki	Q5						https://anilist.co/staff/394037	柚木花. Mangaka.
394046	Leda	Q5						https://anilist.co/staff/394046	Artist.
394047	Seung-A Park	Q5						https://anilist.co/staff/394047	박승아. Writer.
394048	PPO	Q5						https://anilist.co/staff/394048	Artist.
394049	Nia	Q5						https://anilist.co/staff/394049	Artist.
394050	Ray	Q5						https://anilist.co/staff/394050	Artist.
