ID	name	type	URL	P4087	description
32513	Tonari no Shibafu	Q21198342	https://anilist.co/manga/32513	2513	隣りのしばふ. 2002 manga by Tarako Kotobuki
32515	Bishounen no Koi	Q21198342	https://anilist.co/manga/32515	2515	manga by Haiji Sakura
32516	Blurry Moon	Q21198342	https://anilist.co/manga/32516	2516	Blurry Moon. 2000 manga by Iqura Sugimoto
32517	Koiseyo * Shounen	Q21198342	https://anilist.co/manga/32517	2517	恋せよ＊少年. 2001 manga by Iqura Sugimoto
32518	BODY TALK	Q21198342	https://anilist.co/manga/32518	2518	BODY TALK. 2004 manga by Rikako Inomoto
32519	Bokudake no Peach Sapuri	Q21198342	https://anilist.co/manga/32519	2519	manga by Yuki Hiama
32520	Furimuku Dake de Anata Tsumi na Otoko	Q21198342	https://anilist.co/manga/32520	2520	振り向くだけでアナタ罪な男. manga by Tarako Kotobuki
32521	Daikirai!	Q21198342	https://anilist.co/manga/32521	2521	大キライ！. 1999 manga by Mitori Fujii
32522	Gatsuten Douten Matsuki	Q21198342	https://anilist.co/manga/32522	2522	がってんどうてんまつ き. 2006 manga by Mitori Fujii
32523	Original Love	Q21198342	https://anilist.co/manga/32523	2523	manga by Mitori Fujii
32524	Ouji-sama wo Tsukamaero!	Q21198342	https://anilist.co/manga/32524	2524	manga by Mitori Fujii
32525	Shitsuren Mania	Q21198342	https://anilist.co/manga/32525	2525	失恋マニア. 2004 manga by Mitori Fujii
32526	Shitsuren Mania dj - Netsuai Gleaning	Q21198342	https://anilist.co/manga/32526	2526	manga by Mitori Fujii
32527	Crazy for Daddy	Q21198342	https://anilist.co/manga/32527	2527	クレイジー・フォー・ダディ. 2004 manga by CHI-RAN
32528	Seiai no Susume	Q21198342	https://anilist.co/manga/32528	2528	性愛のススメ. 2001 manga by CHI-RAN
32529	Koi Meguri	Q21198342	https://anilist.co/manga/32529	2529	manga by CHI-RAN
32530	Koi ni Naru made	Q21198342	https://anilist.co/manga/32530	2530	恋になるまで. 2000 manga by CHI-RAN
32531	Koi no Katachi.	Q21198342	https://anilist.co/manga/32531	2531	恋ノカタチ。. 2002 manga by CHI-RAN
32532	Rare Love	Q21198342	https://anilist.co/manga/32532	2532	れあらぶ. 2003 manga by CHI-RAN
32533	Sweet Devil	Q21198342	https://anilist.co/manga/32533	2533	Sweet Devil. 1996 manga by CHI-RAN
32534	Ice Kiss	Q74262765	https://anilist.co/manga/32534	2534	冰砂之吻. 2006 manhwa by Gyeong-A Choe
32535	It's Love	Q74262765	https://anilist.co/manga/32535	2535	사랑이야. manhwa by Sang-Eun Back
32536	Darling wa Namamono ni Tsuki	Q21198342	https://anilist.co/manga/32536	2536	ダーリンは生ものにつき. 1997 manga by Yuki Yoshihara
32537	Tennenkei Ouji	Q21198342	https://anilist.co/manga/32537	2537	天然系☆王子. 2005 manga by Shizuki Fujisawa
